group,spectrum,file,position_cm1,raw_counts,prominence_counts,SNR,FWHM_cm1,assignment,flag
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1054.2,289.1,99.7,16.9,12.6,unassigned,
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1096.5,228.8,34.6,5.9,6.3,PO2- symmetric stretch / C-C (gauche lipid) / C-O (carbohydrate),
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1138.5,264.0,39.2,6.6,7.4,unassigned,
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1168.6,273.1,45.3,7.7,6.1,Tyr C-H bend,
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1246.6,329.4,54.6,9.3,15.5,Amide III,
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1300.2,339.4,49.6,8.4,4.8,CH2 twist (lipid),
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1367.8,461.3,171.6,29.1,60.0,COO- symmetric stretch / CH3 bend / carbon D band,
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1602.9,684.0,344.5,58.4,40.3,Phe / Tyr ring C=C stretch / carbon G band,
EV Acacia on AgSiNW,"m2 spectrum #3 (X=0.08, Y=9.28 µm)",m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,2929.5,234.9,57.1,9.7,27.5,CH3 symmetric stretch (protein) / CH stretch,
EV nano Acacia on AgSiNW,"m1 spectrum #20 (X=13.94, Y=16.93 µm)",m1-EV_nano_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,521.2,211.3,38.9,7.4,7.3,Si optical phonon (substrate),
EV nano Acacia on AgSiNW,"m1 spectrum #20 (X=13.94, Y=16.93 µm)",m1-EV_nano_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1288.6,281.7,32.4,6.1,6.7,Amide III,
EV nano Acacia on AgSiNW,"m1 spectrum #20 (X=13.94, Y=16.93 µm)",m1-EV_nano_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1384.8,360.7,110.5,20.9,33.9,COO- symmetric stretch / CH3 bend / carbon D band,
EV nano Acacia on AgSiNW,"m1 spectrum #20 (X=13.94, Y=16.93 µm)",m1-EV_nano_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1605.8,441.3,167.5,31.7,44.5,Phe / Tyr ring C=C stretch / carbon G band,
