spectrum,map,pixel,X_um,Y_um,map_file,1456_checks_passed,1456_pos_cm-1,1456_SNR,1456 V1,1456 V2,1456 V3,1456 V4,1456 V5,1456 V6,1456 V7,1456 V8,1456 V9,1456 V10,1726_checks_passed,1726_pos_cm-1,1726_SNR,1726 V1,1726 V2,1726 V3,1726 V4,1726 V5,1726 V6,1726 V7,1726 V8,1726 V9,1726 V10,r_fingerprint,r_CH,r_1456_1726_windows,r_per_ref_min,I1726/I1456,both_peaks_10of10,both_peaks_min_checks,match_score
m2_px10,m2,10,7.579,9.281,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,3,1453.0,2.7,False,False,False,False,True,True,False,False,False,True,0,1717.0,0.5,False,False,False,False,False,False,False,False,False,False,0.3678,0.9423,0.3211,0.1283,0.152,False,0,0.464
m4_px01,m4,1,-0.079,4.483,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1446.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1720.0,0.9,False,False,False,False,False,False,False,False,False,False,0.3955,0.9454,0.2916,0.1613,0.134,False,0,0.4639
m2_px18,m2,18,15.078,9.281,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1454.0,0.4,False,False,False,False,False,False,False,False,False,False,0,1719.0,0.6,False,False,False,False,False,False,False,False,False,False,0.3257,0.9436,0.3491,0.1458,0.051,False,0,0.4586
m4_px18,m4,18,14.922,9.124,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1465.0,-0.2,False,False,False,False,False,False,False,False,False,False,0,1719.0,0.8,False,False,False,False,False,False,False,False,False,False,0.3813,0.9385,0.2935,0.1825,0.136,False,0,0.4576
m5_px16,m5,16,14.922,-0.157,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1452.0,1.0,False,False,False,False,False,True,False,False,False,False,0,1722.0,0.2,False,False,False,False,False,False,False,False,False,False,0.3359,0.9583,0.3194,0.1102,0.147,False,0,0.4538
m1_px08,m1,8,7.5,0.079,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,7,1452.0,4.0,True,True,True,True,True,False,False,True,False,True,0,1718.0,1.6,False,False,False,False,False,False,False,False,False,False,0.3031,0.92,0.3687,0.0783,0.244,False,0,0.4527
m3_px04,m3,4,3.671,-0.157,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1454.0,0.5,False,False,False,False,False,False,False,False,True,False,0,1727.0,0.8,False,False,False,False,False,False,False,False,False,False,0.3393,0.925,0.3297,0.1285,0.142,False,0,0.4526
m4_px15,m4,15,11.172,13.764,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,8,1459.0,3.6,True,True,True,True,True,True,False,True,False,True,0,1727.0,-0.4,False,False,False,False,False,False,False,False,False,False,0.3163,0.8801,0.3602,0.1036,0.029,False,0,0.4466
m3_px09,m3,9,7.421,4.483,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1446.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.3345,0.9347,0.3085,0.1015,0.09,False,0,0.4441
m3_px00,m3,0,-0.079,-0.157,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1447.0,0.2,False,False,False,False,False,False,False,False,False,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.322,0.9247,0.3108,0.0726,0.196,False,0,0.4381
m3_px03,m3,3,-0.079,13.764,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,2,1466.0,0.0,False,True,False,False,False,True,False,False,False,False,0,1720.0,0.7,False,False,False,False,False,False,False,False,False,False,0.2886,0.968,0.3195,0.0802,0.085,False,0,0.4368
m5_px10,m5,10,7.421,9.124,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1450.0,-2.2,False,False,False,False,False,False,False,False,False,False,3,1716.0,0.0,False,True,False,False,True,True,False,False,False,False,0.2842,0.9471,0.3251,0.023,0.373,False,0,0.4331
m3_px19,m3,19,14.922,13.764,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1466.0,0.0,False,False,False,False,False,True,False,False,False,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.3149,0.9606,0.2844,0.1065,0.02,False,0,0.4318
m1_px14,m1,14,11.25,9.36,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1726.0,-0.4,False,False,False,False,False,False,False,False,False,False,0.306,0.9353,0.2965,0.0836,0.02,False,0,0.4281
m4_px10,m4,10,7.421,9.124,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1729.0,0.0,False,False,False,False,False,False,False,False,False,False,0.3219,0.9513,0.2697,0.1017,0.063,False,0,0.4269
m3_px11,m3,11,7.421,13.764,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1447.0,2.2,False,False,False,False,True,False,False,False,False,False,0,1735.0,1.7,False,False,False,False,False,False,False,False,False,False,0.3099,0.9331,0.288,0.0752,0.153,False,0,0.4258
m4_px02,m4,2,-0.079,9.124,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1457.0,-3.9,False,False,False,False,False,False,False,False,True,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.3656,0.8823,0.2531,0.1549,0.075,False,0,0.4239
m4_px11,m4,11,7.421,13.764,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1466.0,0.0,False,False,False,False,False,True,False,False,False,False,0,1719.0,0.4,False,False,False,False,False,False,False,False,False,False,0.3232,0.9321,0.2686,0.1082,0.064,False,0,0.4231
m4_px12,m4,12,11.172,-0.157,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1446.0,0.0,False,False,False,False,False,False,False,False,False,False,1,1727.0,1.8,False,False,False,False,False,True,False,False,False,False,0.328,0.9314,0.2622,0.118,0.152,False,0,0.4224
m2_px19,m2,19,15.078,13.922,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,1,1724.0,1.9,False,False,False,False,False,True,False,False,False,False,0.3178,0.9593,0.2554,0.1138,0.25,False,0,0.4211
m5_px02,m5,2,-0.079,9.124,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1447.0,-3.2,False,False,False,False,False,False,False,False,False,False,1,1716.0,0.0,False,False,False,False,False,True,False,False,False,False,0.3108,0.9435,0.2518,0.101,0.114,False,0,0.4137
m5_px05,m5,5,3.671,4.483,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1454.0,-2.1,False,False,False,False,False,False,False,False,False,False,0,1729.0,1.4,False,False,False,False,False,False,False,False,False,False,0.3131,0.9374,0.2486,0.0903,0.171,False,0,0.4122
m4_px03,m4,3,-0.079,13.764,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1460.0,0.1,False,False,False,False,False,False,False,False,False,False,1,1727.0,2.3,False,False,False,False,False,True,False,False,False,False,0.3019,0.9315,0.2628,0.1261,0.311,False,0,0.4122
m2_px11,m2,11,7.579,13.922,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1455.0,-2.3,False,False,False,False,False,False,False,False,False,False,3,1735.0,3.2,True,False,False,False,True,True,False,False,False,False,0.3009,0.9416,0.2555,0.0662,0.465,False,0,0.4109
m1_px02,m1,2,0.0,9.36,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,10,1725.0,26.1,True,True,True,True,True,True,True,True,True,True,0.2933,0.8977,0.2847,0.0722,2.067,False,0,0.4107
m4_px04,m4,4,3.671,-0.157,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1465.0,-1.3,False,False,False,False,False,False,False,False,False,False,1,1726.0,0.9,False,False,False,False,False,True,False,False,False,False,0.2882,0.9215,0.275,0.0514,0.094,False,0,0.4096
m4_px14,m4,14,11.172,9.124,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1725.0,0.5,False,False,False,False,False,False,False,False,False,False,0.3064,0.8993,0.2674,0.125,0.109,False,0,0.4094
m1_px03,m1,3,0.0,14.0,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,6,1448.0,3.1,True,True,True,False,True,True,False,False,False,True,0,1720.0,0.1,False,False,False,False,False,False,False,False,False,False,0.2831,0.9491,0.2568,0.1054,0.099,False,0,0.4058
m5_px19,m5,19,14.922,13.764,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1722.0,0.1,False,False,False,False,False,False,False,False,False,False,0.3165,0.9328,0.2258,0.0692,0.066,False,0,0.4035
m2_px00,m2,0,0.079,-0.0,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1446.0,0.0,False,False,False,False,False,False,False,False,False,False,1,1729.0,1.4,False,False,False,False,False,True,False,False,False,False,0.2593,0.9564,0.2676,0.1005,0.223,False,0,0.402
m1_px06,m1,6,3.75,9.36,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1462.0,1.9,False,False,False,False,False,True,False,False,False,False,0,1723.0,1.4,False,False,False,False,False,False,False,False,False,False,0.2174,0.8966,0.331,0.0335,0.237,False,0,0.3987
m2_px03,m2,3,0.079,13.922,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1453.0,-0.4,False,False,False,False,False,False,False,False,False,False,1,1725.0,0.8,False,False,False,False,False,True,False,False,False,False,0.3023,0.9323,0.2284,0.1101,0.108,False,0,0.3987
m4_px07,m4,7,3.671,13.764,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1465.0,2.3,False,False,False,False,False,True,False,False,False,False,0,1717.0,-0.0,False,False,False,False,False,False,False,False,False,False,0.2476,0.8972,0.2961,-0.0089,0.249,False,0,0.3969
m3_px06,m3,6,3.671,9.124,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1464.0,0.1,False,False,False,False,False,False,False,False,False,False,0,1721.0,0.8,False,False,False,False,False,False,False,False,False,False,0.2677,0.9472,0.25,0.0307,0.215,False,0,0.3965
m1_px13,m1,13,11.25,4.719,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1447.0,-0.2,False,False,False,False,False,False,False,False,False,False,0,1719.0,1.7,False,False,False,False,False,False,False,False,False,False,0.2933,0.9604,0.2163,0.0969,0.242,False,0,0.3959
m3_px12,m3,12,11.172,-0.157,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1464.0,-1.2,False,False,False,False,False,False,False,False,False,False,0,1729.0,-0.1,False,False,False,False,False,False,False,False,False,False,0.2428,0.9379,0.2758,0.1325,0.02,False,0,0.395
m5_px08,m5,8,7.421,-0.157,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1457.0,0.5,False,False,False,False,False,False,False,False,False,False,1,1717.0,1.2,False,False,False,False,False,True,False,False,False,False,0.233,0.9548,0.2759,0.0761,0.094,False,0,0.3945
m2_px07,m2,7,3.829,13.922,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1446.0,0.0,False,False,False,False,False,False,False,False,False,False,1,1736.0,0.0,False,False,False,False,False,True,False,False,False,False,0.2915,0.9288,0.2277,0.0987,0.162,False,0,0.3934
m2_px17,m2,17,15.078,4.64,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1465.0,-1.0,False,False,False,False,False,False,False,False,False,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.2871,0.9435,0.2196,0.0846,0.143,False,0,0.3914
m2_px08,m2,8,7.579,-0.0,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1446.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1718.0,0.7,False,False,False,False,False,False,False,False,False,False,0.2984,0.9569,0.2013,0.0943,0.067,False,0,0.3913
m5_px17,m5,17,14.922,4.483,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.2901,0.8987,0.2367,0.0627,0.183,False,0,0.3905
m1_px17,m1,17,15.0,4.719,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,1,1716.0,0.0,False,False,False,False,False,True,False,False,False,False,0.2757,0.9025,0.2479,0.0269,0.142,False,0,0.3899
m5_px03,m5,3,-0.079,13.764,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1461.0,-2.0,False,False,False,False,False,False,False,False,False,False,0,1727.0,1.3,False,False,False,False,False,False,False,False,False,False,0.298,0.9531,0.1999,0.0775,0.232,False,0,0.3898
m2_px12,m2,12,11.328,-0.0,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1447.0,1.1,False,False,False,False,False,False,False,False,False,False,0,1736.0,0.0,False,False,False,False,False,False,False,False,False,False,0.224,0.9405,0.2793,0.0193,0.055,False,0,0.3894
m2_px04,m2,4,3.829,-0.0,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.2653,0.9298,0.2393,0.0182,0.31,False,0,0.3878
m5_px13,m5,13,11.172,4.483,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1447.0,-3.2,False,False,False,False,False,False,False,False,False,False,0,1728.0,-1.8,False,False,False,False,False,False,False,False,False,False,0.3045,0.9367,0.1959,0.0588,0.032,False,0,0.3875
m1_px18,m1,18,15.0,9.36,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1447.0,-3.6,False,False,False,False,False,False,False,False,False,False,0,1721.0,0.2,False,False,False,False,False,False,False,False,False,False,0.3106,0.8593,0.2212,0.0923,0.088,False,0,0.3846
m2_px01,m2,1,0.079,4.64,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1466.0,0.0,False,False,False,False,False,True,False,False,False,False,0,1717.0,2.3,False,False,False,False,False,False,False,False,False,False,0.2809,0.8626,0.2439,0.0534,0.247,False,0,0.3824
m3_px13,m3,13,11.172,4.483,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1465.0,-0.2,False,False,False,False,False,False,False,False,False,False,0,1733.0,0.9,False,False,False,False,False,False,False,False,False,False,0.2594,0.9186,0.2354,0.049,0.132,False,0,0.3816
m5_px01,m5,1,-0.079,4.483,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1453.0,-1.1,False,False,False,False,False,False,False,False,False,False,1,1721.0,1.1,False,False,False,False,False,True,False,False,False,False,0.2703,0.8761,0.2438,0.0515,0.151,False,0,0.3809
m4_px09,m4,9,7.421,4.483,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1454.0,-1.6,False,False,False,False,False,False,False,False,False,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.2622,0.9075,0.2343,0.0115,0.154,False,0,0.3801
m3_px10,m3,10,7.421,9.124,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1457.0,-0.4,False,False,False,False,False,False,False,False,False,False,0,1720.0,1.5,False,False,False,False,False,False,False,False,False,False,0.326,0.9111,0.1683,0.1635,0.336,False,0,0.3799
m4_px19,m4,19,14.922,13.764,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1718.0,1.3,False,False,False,False,False,False,False,False,False,False,0.3175,0.9212,0.1715,0.0965,0.17,False,0,0.3798
m4_px16,m4,16,14.922,-0.157,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1724.0,1.4,False,False,False,False,False,False,False,False,False,False,0.303,0.9278,0.1761,0.1366,0.093,False,0,0.3772
m3_px02,m3,2,-0.079,9.124,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1447.0,1.5,False,False,False,False,False,False,False,False,False,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.3446,0.9449,0.1225,0.1533,0.028,False,0,0.3758
m5_px15,m5,15,11.172,13.764,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1453.0,-0.6,False,False,False,False,False,False,False,False,False,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.268,0.9611,0.1905,0.0454,0.158,False,0,0.3756
